Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source
03-B-13	Intermediate	35.87374	-106.33008	7458.260	Qbt3	2005-06-10 00:00:00	32.00	2	21.5	31.500	Ground surface elevation, NULL, Ground surface elevation, Ground surface elevation	NULL	General	Pajarito	A	NULL	[84]		Well Info	
18-MW-18	Alluvial	35.83237	-106.25166	6654.7	Qal	1995-07-31 00:00:00	23.00	2	12.5	23.000	NULL, NULL, TA-18	NULL	TA-54	Pajarito	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
CrEX-1	NULL	35.85785	-106.25667	6831.303	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL, Coordinates from LANL	NULL	Chromium	Mortendad	NULL	NULL	[84]	Ground Elevation updated from MW	Well Info	
CrEX-2	NULL	35.85898	-106.26088	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrEX-3	Regional	35.85967	-106.25495	6734.601	Tpf	NULL	1004.5	8 in	909.6	948.8	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]	Aquifer updated from MW, Ground Elevation updated from MW, Geologic Unit Code updated from MW, Total Well Depth [ft] updated from MW, Well Diameter [in] updated from MW, Screen Top [ft] updated from MW, Screen Bottom [ft] updated from MW	Well Info	
CrIN-1	NULL	35.85997	-106.2511	6705	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-2	NULL	35.85865	-106.25197	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-3	NULL	35.85679	-106.25178	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-4	NULL	35.8565	-106.25522	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CrIN-5	NULL	35.85648	-106.25585	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-2 S1	NULL	35.86028	-106.25606	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-2 S2	NULL	35.86028	-106.25606	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-3	NULL	35.86122	-106.26005	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-4	NULL	35.86115	-106.26329	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
CRPZ-5	NULL	35.86036	-106.26489	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	Chromium	Mortendad	NULL	NULL	[84]		Well Info	
LADP-3	Intermediate	35.87418	-106.27507	6754.19	Qbog	1993-12-17 00:00:00	326.00	2	316	325.000	NULL, NULL, Brass Cap, Brass Cap, 21-1682 (second label). Drill hole OU-1106(TA-21): geo/hydro investigative	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAO-3a	Alluvial	35.87317	-106.25822	6609.1	Qal	1989-09-14 00:00:00	14.70	2	4.7	14.700	NULL, NULL, Elevation revised based on LIDAR surface location pick, Elevation revised based on LIDAR surface location pick	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI(a)-1.1	Intermediate	35.87543	-106.28709	6835.2	Qbog	1994-11-08 00:00:00	310.20	3	295.2	305.000	NULL, NULL	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI-3.2	Intermediate	35.87308	-106.25937	6622.6	Qbog	2005-03-01 00:00:00	165.00	2.1	153.3	162.800	NULL, NULL, added for P Longmire.  Location data taken from Brass Cap survey data., added for P Longmire.  Location data taken from Brass Cap survey data.	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI-3.2a	Intermediate	35.87318	-106.25944	6624.43	Tpf	2006-01-20 00:00:00	194.10	3.1	181.4	191.000	NULL, NULL, Brass Cap Location, Brass Cap Location	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAOI-7	Intermediate	35.86901	-106.23524	6458.35	Tb4	2005-09-21 00:00:00	264.90	3	240	259.600	NULL, NULL, Brass Cap location Kleinfelder survey, Brass Cap location Kleinfelder survey	NULL	TA-21	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
LAUZ-1	Alluvial	35.87787	-106.27357	7032.42	NULL	NULL	10.55	4 in	5.35	10.350	NULL, DP Canyon, OU 1106 (TA-21), Surv-Tek Survey, Surv-Tek Survey	NULL	General	Los Alamos	A	NULL	[84]	Ground Elevation updated from MW, Well Diameter [in] updated from MW	Well Info	
MCO-0.6	Alluvial	35.86789	-106.30545	7188.280	Qal	1999-02-25 00:00:00	3.10	2	1.05	3.050	NULL, NULL	NULL	General	Mortendad	A	NULL	[84]		Well Info	
MCO-5	Alluvial	35.86339	-106.27683	6875.66	Qal	1960-10-01 00:00:00	46.00	3	21	46.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MCO-7	Alluvial	35.86056	-106.26991	6827.31	Qal	1960-10-01 00:00:00	69.00	3	39	69.000	NULL, NULL	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
MCOI-5	Intermediate	35.85999	-106.26744	6819.7	Tb4	2004-10-25 00:00:00	702.70	4.5	689.04	699.000	NULL, NULL, Brass Monument, Brass Monument, Brass Monument	NULL	Chromium	Mortendad	A	NULL	[84]	Ground Elevation updated from MW	Well Info	
