Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Geologic Unit Code	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	WELL_COMPLETION_REPORT_URL	Location Type	Monitoring Area	Watershed	Well Status	Inactive Date	TOC Elevation	LWA Notes	Source	Max	Max Date	Last	Last Date	Max Hex	Max Date Hex	Last Hex	Last Date Hex	Length	Active	Exceedance	Substantial Data
00-01535	NULL	35.88079	-106.29734	7292.900	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:BOREHOLE MS-7 Notes: Aggregate:, NULL	NULL	BH	General	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
01-22571	NULL	35.86356	-106.27721	6881.300	NULL	NULL	NULL	NULL	NULL	NULL	NULL, NULL	NULL	BH	Chromium	Mortendad	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
02-01021	NULL	35.87639	-106.29293	6887.580	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:WELL IMMEDIATELY WEST OF TA-2 Notes: Aggregate:	NULL	MON	General	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
02-01022	NULL	35.87621	-106.28971	6861.740	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc:SECOND BOREHOLE/WELL EAST OF TA-2 Notes: Aggregate:, NULL	NULL	BHover10ft	General	Los Alamos	NULL	NULL	[84]		Well Info	12.2	2000-06-22	12.2	2000-06-22	No Data	No Data	No Data	No Data	2		Exceedance	
02-01075	NULL	35.87543	-106.28709	6835.200	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:Intermediate Borehole Notes: Aggregate:Baseline, NULL	NULL	BH	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
02-01076	NULL	35.87552	-106.2872	6836.000	NULL	NULL	NULL	NULL	NULL	NULL	Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1, NULL, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1, Survey date and accuracy for coordinates and elevation are UNKNOWN. Location Desc: Notes: Aggregate:LAO-1	NULL	MON	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
02-01077	NULL	35.87642	-106.28991	6865.000	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc: Notes: Aggregate:LAOR-1, NULL	NULL	SS(0-1ft)	General	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
02-01078	NULL	35.87543	-106.28709	6835.200	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:Intermediate Monitoring Well Notes: Aggregate:Baseline, NULL	NULL	BHover10ft	TA-21	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
03-02664	NULL	35.87374	-106.33013	7457.700	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:03-2664 Notes: Aggregate:03-010(a), NULL	NULL	BH	General	Pajarito	NULL	NULL	[84]		Well Info	7.2	1999-12-17	7.2	1999-12-17	No Data	No Data	No Data	No Data	2			
03-02667	NULL	35.87378	-106.33022	7451.540	NULL	NULL	NULL	NULL	NULL	NULL	Location Desc:03-2667 Notes: Aggregate:03-010(a), NULL	NULL	BH	General	Los Alamos	NULL	NULL	[84]		Well Info	No Data	No Data	No Data	No Data	No Data	No Data	No Data	No Data	0			
