Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	Monitoring Area	Watershed	Geologic Unit Code	Well Status	Inactive Date	TOC Elevation	LWA Notes
R-15				['6820']		['1030.6']	['5 in']		['1020.3']							['6820']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW	
R-19 S3									['1215.4']								Screen Bottom [ft]- MW	
R-40 S1				['6719.24']					['785.06']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-43 S1				['6732.65']					['924.6']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-56 S1				['6780.88']					['965.6']								Ground Elevation- MW, Screen Bottom [ft]- MW	
LAUZ-1				['7032.42']			['4 in']		['10.35']							['7032.42']	Ground Elevation- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW	
SIMR-2		['35.8537451', '35.853745100000']	['-106.2519261', '-106.251926100000']	['6702.3', '6694']		['927']	['5 in']						['Tpf']			['6702.3']	Latitude- MW, Longitude- MW, Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, TOC Elevation- MW, Ground Elevation- MW, Latitude- CD, Longitude- CD	
R-10 S1				['6362.31']					['897']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-37 S2				['6870.59']					['1046.6']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-21				['6656.24']		['941.4']	['6 in']		['906.8']							['6656.24']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW	
R-51 S1				['6762.17']				['915']	['925.2', '925.24']								Ground Elevation- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, Screen Bottom [ft]- MW	
R-44 S2				['6714.91']					['995.2']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-62				['6984.88']			['5.0 in']						['Tjfp']			['6984.88']	Ground Elevation- MW, Geologic Unit Code- MW, Well Diameter [in]- MW, TOC Elevation- MW	
R-55 S2				['6533.86']					['1015.4']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-5 S2				['6472.6']					['388.8']								Ground Elevation- MW, Screen Bottom [ft]- MW	
LAOI(a)-1.1				['6835.2']		['310.2', '310.15']	['3 in']		['305']							['6837.94', '6835.2']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Total Well Depth [ft]- MW, TOC Elevation- MW	
R-56 S2				['6780.88']					['1067.1']								Ground Elevation- MW, Screen Bottom [ft]- MW	
R-1				['6881.21']		['1080.1']	['4.5 in']	['1031.1']	['1057.4', '1057.42']							['6881.21']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Top [ft]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Screen Bottom [ft]- MW	
R-35a			['-106.2435541', '-106.243554', '-106.243554000000', '-106.243554100000']	['6623.06']		['1086.2']	['4.5 in']		['1062.2']							['6623.06']	Longitude- MW, Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW, Longitude- MW, Longitude- CD, Longitude- CD	
R-38				['6668.58']		['853.4']	['5 in']		['831.2']							['6668.58']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW	
