Location ID	Aquifer	Latitude	Longitude	Ground Elevation	Well Installation Date	Total Well Depth [ft]	Well Diameter [in]	Screen Top [ft]	Screen Bottom [ft]	Comments	Monitoring Area	Watershed	Geologic Unit Code	Well Status	Inactive Date	TOC Elevation	LWA Notes
18-MW-13				['6727.3']													Ground Elevation- MW
R-15				['6820']		['1030.6']	['5 in']		['1020.3']							['6820']	Ground Elevation- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-19 S3									['1215.4']								Screen Bottom [ft]- MW
R-40 S1				['6719.24']					['785.06']								Ground Elevation- MW, Screen Bottom [ft]- MW
MCWB-6.5E						['50']	['3 in']		['45']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-43 S1				['6732.65']					['924.6']								Ground Elevation- MW, Screen Bottom [ft]- MW
R-56 S1				['6780.88']					['965.6']								Ground Elevation- MW, Screen Bottom [ft]- MW
LAUZ-1				['7032.42']			['4 in']		['10.35']							['7032.42']	Ground Elevation- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
SIMR-2		['35.8537451', '35.853745100000']	['-106.2519261', '-106.251926100000']	['6702.3', '6694']		['927']	['5 in']						['Tpf']			['6702.3']	Latitude- MW, Longitude- MW, Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, TOC Elevation- MW, Ground Elevation- MW, Latitude- CD, Longitude- CD
MCOI-8						['678.6']	['4.5 in']		['674.96']				['Tb4']			['6862']	Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-10 S1				['6362.31']					['897']								Ground Elevation- MW, Screen Bottom [ft]- MW
PAO-3							['4 in']		['10.62']				['Qal']				Geologic Unit Code- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
PCO-2				['6618.3']		['9.5']			['9.5']								Ground Elevation- MW, Total Well Depth [ft]- MW, Screen Bottom [ft]- MW
R-19 OB	['Intermediate']																Aquifer- MW
R-5 S4				['6472.6']					['863.7']								Ground Elevation- MW, Screen Bottom [ft]- MW
PCAO-6						['20']	['4 in']		['15']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
R-55i				['6534.91']		['541.4']	['5 in']		['531.1']				['Tb4']			['6534.91']	Ground Elevation- MW, Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW, TOC Elevation- MW
R-37 S2				['6870.59']					['1046.6']								Ground Elevation- MW, Screen Bottom [ft]- MW
18-MW-11						['47']	['2 in']		['47']				['Qal']				Geologic Unit Code- MW, Total Well Depth [ft]- MW, Well Diameter [in]- MW, Screen Bottom [ft]- MW
